category,comment,rating,date
Mobile Phone,"Nabili ko sa promong 4,190 pesos.. at binayaran ko sa total amount na 3,690 pesos dahil sa tulong ng Shopee Voucher and Shopee Coins and ofcourse it was zero Shipping fee. Siguro naman ay nakamura na ako kasi sa Physical store ay 4,500 pesos daw ito. Legit and no issues. Matagal nga lang dumating.",5,11/7/2021
Mobile Phone,Order recieved tho it takes too long to deliver 😅 the shipping takes almost a month. But it's okay as long as the parcel arrived complete and no damaged. The item itself is okay. It is really nice. My father likes it so much and happy because his old phone is already broken. Thank you seller.Thanks,5,11/6/2021
Mobile Phone,Vid unrelated. Maganda ung phone nagustuhan ng mom ko. Sobrang tagal nga lang ng shipping first time ko nakaranas na umabot ng 2 weeks bago mareceive ung item nawala na ung excitement namin. 2nd order na namin dito sa shop na to still happy with the phone.,4,11/4/2021
Mobile Phone,"Ka-Tropa, we value your loyalty to us kaya naman we have a SPECIAL TREAT for you! Load lang ng a total of P100 within 30 days & get FREE 1 GB/day data for 1 day.  Get your fave promo on onelink.to/GigaLifeApp NOW!",5,11/6/2021
Mobile Phone,"The phone is working. However, the packaging is poor. Considering the place where its from and to my address. The box was deformed. Quite disappointed.",4,11/3/2021
Mobile Phone,Super Tagal.  It took 3 weeks bago dumating.  Over all ok naman.,5,11/3/2021
Mobile Phone,buti nalang mabilis na kayo mag ship out at mabilis ko rin natanggap .. good job xiaomi ! salamat din sa 2GO na nagdeliver 👍,5,11/6/2021
Mobile Phone,Sobrang ganda ng quality ng cellphone and sobrang thankyou ksi nakadiscount ako ng malaki nung flash deals .Thankyou seller.,5,11/7/2021
Mobile Phone,Nice maganda sya tsaka ang bilis ng shipping. Hindi ko akalain na this week siya ma deliver sa bahay. Pang regalo sa pasko <3,5,11/7/2021
Mobile Phone,Grreeeeaaaaattttt niccceee item..will order again and again and again and again....heart heart heart heart heart heart,5,11/4/2021
Mobile Phone,Arrived in good condition but parcel says with free cover ang tempered but none came. Arrived in good condition but parcel says with free cover ang tempered but none came. Arrived in good condition but parcel says with free cover ang tempered but none came. Arrived in good condition but parcel says,5,10/27/2021
Mobile Phone,Thank you kaayo seller. Very accommodating. I will order again. Legit po shop na to. I will recommend this shop. Very fast transaction. Kudos for manong delivery boy bait din sobra. more orders to come. Thank you po!❤️,5,11/6/2021
Mobile Phone,"Purchased this using SpayLater. 10PHP lang interes but I got a cash back na 180 HAHAHA thanks. Regarding the phone okay nman sya, mbaba lng ram. Ma-lag ml but bearable. 😂 Ang apps ko lang is FBLite, ML at Tongits Go. Not advisabe sa gamer. Pwede to online class 🙂",5,10/30/2021
Mobile Phone,Ang tagal kung nag hintay umabot ng isang buwan. Pero nman yung item..................thanks,5,11/3/2021
Mobile Phone,Okay yung item and very responsive din yun agent sa chat kasi nadelay yung ship out kasi bumabagyo. Buti na lang naging patient enough yung daddy ko 😅 pero okay yung item may konting dent yung box pero keri lang. Di naman naapektuhan yung phone. Thank you! wala nga lang photo kasi excited tatay ko,5,10/27/2021
Mobile Phone,"Thank you Shopee 😘🥰 Thank you Shopee 😘🥰 Thank you Shopee 😘🥰 Thank you Shopee 😘  “Too often we underestimate the power of a touch,  a smile, a kind word, a listening ear, an honest compliment, or the smallest act of caring, all of which have the potential to turn a life around. ”-Leo Buscaglia",5,10/21/2021
Mobile Phone,Finally dumating na din unit.. Medjo matagal dumating item ngyn.. Packed well pa din and sobra affordable ng unit.. Thank you xiaomi and shopee.. Will order again soon,5,10/29/2021
Mobile Phone,It took a month to arrive but it was legit. This is a gift to my lolo. Happy birthday to him yesterday.,5,10/20/2021
Mobile Phone,More or less twenty days before it arrived..super tagal talaga pero wala talagang probs ang redmi. Thanknyou official store of redmi..maraming matsala...,5,10/23/2021
Mobile Phone,Thank you so much seller. Sobrang bilis lang dumating ng item. In good condition. Good thing nacheck namin siya sa harap ng nag deliver. Maayos naman thank you ulit! Godbless!,5,11/1/2021
Mobile Phone,"Ang tagal dumating, this will be mg 4th time na mag-order pero eto din yung sobrang tagal. Tapos feeling ko nabagsak din tong box kase halata naman na may dent. Sana di naapektuhan ang cellphone",4,11/1/2021
Mobile Phone,thank you seller and shoppe good packaging and good quality..pagkaorder ko dumating naman agad at super mura ko rin kinuha ang ganda ng unit pangalaw ko na ito na order dito na store..i will buy again.thank you rin sa rider na mabait.i will give 5 stars.,5,10/26/2021
Mobile Phone,"Ordered 10/15, arrived 10/26. Medyo matagal lang na-ship out, yung tipong need mo pa i-follow up bago i-ship pero once na na-out na, mabilis lang naman, especially kudos to J&T kasi pagdating dito mabilis na na-deliver.",5,10/28/2021
Mobile Phone,"Thank you Xiaomiofficialstore sa pagship ng mas maaga sa expected ship date badly needed talaga,dumating din sya on time oct17 salamat talaga legit sya as of now working naman lht wala naman problem sana tumagal din sya, wala pala syang earphone na kasama 1st time ko lng kasi mag Xiaomi.",5,10/18/2021
Mobile Phone,We received the items complete and in good condition. Need to test it muna. Thank you seller and kuya courier,5,11/4/2021
Mobile Phone,Superb phone! Worth the price! Thank you Xiaomi! Thank you Shopee! 🧡🧡👍👍😉😉 Superb phone! Worth the price! Thank you Xiaomi! Thank you Shopee! 🧡🧡👍👍😉😉 Superb phone! Worth the price! Thank you Xiaomi! Thank you Shopee! 🧡🧡👍👍😉😉,5,11/1/2021
Mobile Phone,Ang Ganda Po ng cellphone ko..hehhehe... salamat seller ok Ang item na natanggap ko....will order again soon pag may sale ☺️☺️☺️☺️☺️☺️☺️☺️ 999 thnk you shoppeeee 😊😁😁😘🤠😘😁😁😁😘😘😘😘😘😘😘😘😘😘😘😘,5,11/1/2021
Mobile Phone,Maayos na dumating yung item. Legit syempre. Medyo matagal nga lang bago dumating. Galing china eh lagpas 15days. Gumagana at maayos cp. May pang fb at tiktok na ang lola.,5,11/1/2021
Mobile Phone,Legit. Thank you mate!!!! Order again soon Legit. Thank you mate!!!! Order again soon Legit. Thank you mate!!!! Order again soon Legit. Thank you mate!!!! Order again soon Legit. Thank you mate!!!! Order again soon Legit. Thank you mate!!!! Order again soon,5,10/30/2021
Mobile Phone,"Using this phone for 3days and i can say that the quality is very good, the item is legit. This is my second order from this shop, it took a long time because it's an overseas shop. Though the packaging now is a bit mess unlike the first one that i order. The rider who deliver my order is annoying.",5,10/20/2021
Mobile Phone,"Date Ordered: October 1, 2021 Date Received: October 18, 2021 Excellent quality Well packaged Took long enough to receive the item",4,10/26/2021
Mobile Phone,Thank you so much! Seller is nice and answering questions and concerns. Thanks a lot. Will surely order again. Thanks also to rider. :),5,10/27/2021
Mobile Phone,"Sorry for the late review. super legit! Thou it took time to ship and receive it, brand new talaga cia. Thank you seller, shopee and kay kuang rider",5,10/28/2021
Mobile Phone,Happy nq happy Ang mama ko sa new CP nya.  Safe Naman Dumating Ang Parcel.  😍 Thankyouuu Xiaomi and thankyou shopee and seller,5,10/21/2021
Mobile Phone,"I received the parcel this morning. It was sealed on the box of the phone. The quality is nice. I will definitely will order and will recommend to my friends, colleagues and relatives. Thank you. I was wondering there's not headset on it. Just a thought because every time I bought a phone from mall.",5,10/27/2021
Mobile Phone,"My 3rd time of ordering. The phone is good and legit!😊 i give 4 stars because of late delivery. The scheduled date of delivery was october 7 but i received it october 11. The rider told me that the parcel was in him last october 8 but wasn't able to deliver and i dunno the reason why. Btw, thanks!❤",4,10/19/2021
Mobile Phone,So pretty!!! I looooove it 😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳,5,10/28/2021
Mobile Phone,So far so good... Gumagana ng maayos ang phone... Sana lng magtagal siya... Ok na ok para sa anak ko... Good job seller... 👍👍👍👍👍👌👌👌☝️👌👌👌👌,5,10/24/2021
Mobile Phone,Good item. Will order again Good item. Will order again Good item. Will order again Good item. Will order again Good item. Will order again Good item. Will order again,5,10/23/2021
Mobile Phone,Cheap phone with high quality. Truly recommended lalo na kung pang online class and games lang. Medyo matagal nga lang nadedeliver. My nth times ordering here.,5,10/16/2021
Mobile Phone,Thank you so much shoppe and seller and also to the rider po na mabait....super legit and Ganda po Ng phone....pangatlong order ko napo eto para saga customers ko...🥰🙏💕...I super love it...,5,10/15/2021
Mobile Phone,"Incomplete package. Buti nalang Seller is responsive and attends my questions and i am Satisfied. Might order again pero di na prio kase mahal talaga. Sayang lang, its a good primary phone pa naman daw.  Tnx xiaomi.",2,10/16/2021
Mobile Phone,Cheap phone with high quality. Truly recommended lalo na kung pang online class and games lang. Medyo matagal nga lang nadedeliver. My nth times ordering here.,5,10/16/2021
Mobile Phone,"The phone seemed legit although it took up to 16 days to be delivered, dahil na rin siguro sa layo nung main store ng xiaomi from the Philippines and kailangan ng adapter yung charger. All in all satisfying naman and mabait yung courier.",5,10/21/2021
Mobile Phone,"Arrived Napo. Maganda dahil nabili ko sya Ng flash deals, 700 Yung binaba Ng presto niya. Good job seller, salamat Shopee. Will order again pag may sale🥰🥰🥰☺️☺️☺️☺️☺️❤️❤️❤️❤️ Kudos to seller. Good job. Okay ang cam, good for daily life use. Yung Di maarte at tight budget Lang bibilhin. Dito Kana..",5,10/14/2021
Mobile Phone,Ganda ng phone.. salamat seller.....gumagana naman Ang phone di ako ngkamali sa shop na ito recommended.....thank you shoppeeee,5,10/14/2021
Mobile Phone,Legit na legit at ang ganda  Bilis pa ng shipment.  Di kamag sisisi Gamit ko na agad sya and nakaka tuwa ng bongga!!!!!!!!!!!,5,10/19/2021
Mobile Phone,Took 12 days to arrive via overseas shipping. Buti na lang pwede COD. Madami palang features ito na wala sa redmi 7a like dual apps at second space which I find really useful. SD talaga ang mas maganda vs MTK.,5,10/19/2021
Mobile Phone,"The delivery took longer than usual because of heavy rainfall, but the parcel arrived safely.  This is a good phone.  Thank you seller!",5,10/29/2021
Mobile Phone,"sira yung item, stop buying this",2,10/16/2021
Mobile Phone,"I received it yesterday. Thank you seller this is my first time to order a cellphone in shopee and I'm thankful that this item is soo   legit. I really love its specs, budget friendly and lucky to get  voucher from shoppe  almost less 500 pesos uwuu! Hope na tumagal and most is, it arrives complete",5,10/6/2021
Mobile Phone,Green po binili ko hah..hindi blue..thank you seller for this phones from xiaomi..thank you redmi 9a for the phone..salamat..gogogogogogogogog..thank you thank you..,5,10/21/2021
Mobile Phone,1 week bago ko natanggap pero oks na oks siya gumagana wakang labis walang kulang. Okay din yun charger lahat. Sabi ni vince sa video ma lag daw emel nung tinesging ko di naman goods siya. Lalo na para mga chikiting niyo kaze pambata na phone takaga siya,5,10/16/2021
Mobile Phone,"Sorry for my late rate,2 weeks na gamit ang cp,as of now ok na ok & no problem encountered in this phone.Bcoz of Shopee & shop voucher + redeemed coins I got dis 4 only 3,184.Thank u seller @ Xiaomi.Satisfied buyer here.Nagustuhan ng anak ko new phone nya.Thank you Shopee at kuya delivery man.",5,10/2/2021
Mobile Phone,Okay lang naman sya.. Kaso kulang walang headset.. Pero all in all maganda sya. Thank you shoppee.,4,10/20/2021
Mobile Phone,"Okay naman yung phone. Kaso sobrang tagal niyang dumating, pero dahil galing pa ngang China what do I expect diba......",4,10/25/2021
Mobile Phone,SMOOTH LIKE BUTTER.........Arrived safely. great purchase. I hope it will last longer...............Worth the wait. CHARRRR,5,10/14/2021
Mobile Phone,"So Far So Good ang Phone ,antagal ma lobat .tagal nga lang dumating from china din kasi galing pero buti nalang at global version na siya .super sulit ng kuha ko laki ng discount ..",5,10/9/2021
Mobile Phone,This is the cellphone that is very affordable and perfect for social media use too. This is for my helper and that she is so happy with it. I am glad I bought this for her. It took a long time to arrive though because it was shipped from China. Worth the wait...,5,10/2/2021
Mobile Phone,"Great buy!! Not able to capture photo of packaging and unit itself cause' I gifted this to a fam member, she's happy naman. ☺️ #supersulit #legit",5,10/10/2021
Mobile Phone,Perfect! Excellent quality and good service. I got it within 2 weeks! My brother really love the phone itself 🥰 good job seller and the delivery man was nice. Thank you Shopee 👍🏻👏🏻,5,10/12/2021
Mobile Phone,"We can only buy 1 unit per flash sale during 9.9 so I bought the same product in other platform (LZD), then that’s when I discovered L is selling it much cheaper due to much bigger voucher haha. Bought this here for 3.2k but only 3,050 sa L. Wala pa naman akong naririnig na issue from our kasambahay",5,10/5/2021
Mobile Phone,Yan na oh..60+ orders of redmi phones..poco product lng ang may probs..sa mga redmi phones..yung 9T lng talaga may defect tulad ng poco..other phones..wala probs..,5,10/22/2021
Mobile Phone,"*Excellent Quality, What you see/order is what you get. It took a long time to receive the item but it's worth it. *Very According Seller *Well-packaged *Will Order again *THANKYOU SELLER AND SHOPEE",5,10/5/2021
Mobile Phone,Photo and video not related. But overall the phone is smooth and super sulit for its price. I hope I can buy again. Thank you. More sales to comeeeee! 🤗🤗🤗,5,10/8/2021
Mobile Phone,Worth it paghihintay sep 30 ko inorder dumating October 7 medyo matagal lang pero sulit pa rin. Thank you seller May voucher ako kata medyo mura,5,10/8/2021
Mobile Phone,have shopped here several times. There are great and bad experiences with the products and services from sellers but overall I find it very helpful especially during this pandemic where I don't have to go to the city malls to purchase the products I need that,5,10/2/2021
Mobile Phone,Bought this for only 3200 during 9:9 from 4500 super worth it!!!! Kudos to the seller 👍👍👍👍👍👍 xiaomi is my new fave smartphone 🥰🥰🥰🥰🥰🥰🥰🥰🥰,5,10/1/2021
Mobile Phone,"Bought this last 9.9 sale for only 3,150 pesos. It took 12 days before I received the package. First time ordering a phone here in shopee. Super legit store. I like the wide screen, much bigger than my samsung phone. Will order again.",5,10/8/2021
Mobile Phone,"The item is good, well packaged, and shipped on-time. 👍 I made an unboxing video of this smartphone, and also tried the game performance in several games like ML, CODM, & Wild Rift. You can check the sample gameplay, sample camera shots, and what's inside the box in ""UnBox Ching"" channel in YT.",4,10/7/2021
Mobile Phone,Sana tumagal ang phone.. 2ram lang siya.. Saka okay nman kaso parang hnd 23mp yong camera nya.. Parang nasa 8mp lang dahil malabo sa screen.. Malaki ang phone.. Ang tanging hiling ko lang sana tumagal.. At hnd mag loko kahit mura lang bili ko.,4,10/8/2021
